ID,Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos_Involucrados,Heridos,Accidente _con,Heridos _SI/NO ,Muertes,Clase_Accidente
222,5/21/2023 0:00,C-001582243,KILOMETRO 57+700 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,0,MUERTOS,0,2,CHOQUE
223,5/23/2023 0:00,C-001582244,KILOMETRO 57+650 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,0,MUERTOS,0,1,CHOQUE
224,5/29/2023 0:00,A001576731,CARRERA 16 CALLE  17   SAN CRISTOBAL,SAN CRISTOBAL,2,2,HERIDOS,1,NO APLICA,CHOQUE
225,5/27/2023 0:00,A001576730,KILOMETRO 3+200 MTS VIA GRAVICON,No registra,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
226,5/30/2023 0:00,C-001582252,KILOMETRO 47+500 MTS,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
227,5/30/2023 0:00,A001576732,CARRERA 23 N 27A-25    SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
228,6/7/2023 0:00,A001576733,DIAGONAL 15 N. 22-54,No registra,3,3,HERIDOS,1,NO APLICA,CHOQUE
229,6/8/2023 0:00,A001576734,KILOMETRO 26 + 800 MTS VIA VILLAVICENCIO    VÍA ACACÍAS-VILLAVICENCIO,VÍA ACACÍAS-VILLAVICENCIO,2,2,HERIDOS,1,NO APLICA,CHOQUE
230,6/12/2023 0:00,A001576735,CALLE 18 CON 15 INTERSECCION    SIN INFORMACIÓN DEL BARRIO,No registra,2,3,HERIDOS,1,NO APLICA,CHOQUE
231,6/22/2023 0:00,A001576736,CALLE 14 # 20    CENTRO,CENTRO,1,1,HERIDOS,1,NO APLICA,ATROPELLO
232,6/23/2023 0:00,A001576737,CALLE 11 33-12    SAMAN,SAMAN,2,2,HERIDOS,1,NO APLICA,CHOQUE
233,6/24/2023 0:00,A001576738,CALLE 14 CARRERA  15   CENTRO,CENTRO,2,2,HERIDOS,1,NO APLICA,CHOQUE
234,6/28/2023 0:00,A001576739,CARRERA 23 N.18-24    MANCERA,MANCERA,1,0,MUERTOS,0,1,CHOQUE
235,6/25/2023 0:00,C-0015882267,KILOMETRO 46+690 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,1,NO APLICA,CHOQUE
236,6/30/2023 0:00,A001576740,CALLE 17 CARRERA 6   POPULAR,POPULAR,2,1,HERIDOS,1,NO APLICA,CHOQUE
237,7/4/2023 0:00,A001576741,AVENIDA 23 N. 27B-30B    SIN INFORMACIÓN DEL BARRIO,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
